Breakfast included_booking,Cancel Later_booking,Discount_booking,Discount_expedia,Distance from center_booking,Extras included_expedia,Free Cancellation_booking,Friday,Grade_booking,Grade_expedia,Index_booking,Index_expedia,Is refundable_expedia,LOS,Late payment_expedia,Location grade_booking,Monday,Late payment_booking,Num of Reviews_booking,Num of Reviews_expedia,Option Member_expedia,TTT,Wednesday,Diff_B-E
0,0,0,0,2500,0,0,0,7.9,8.2,46,40,1,5,0,0,1,0,1023,1008.0,0,1,0,-576.2800000000002
0,1,0,0,2500,0,1,0,7.9,8.2,28,42,1,1,0,0,1,1,1023,1008.0,0,2,0,-126.11
0,1,0,0,2500,0,1,0,7.9,8.2,47,41,1,2,0,0,1,1,1023,1008.0,0,2,0,-237.86
0,1,0,0,2500,0,1,0,7.9,8.2,54,42,1,3,0,0,1,1,1023,1008.0,0,2,0,-345.74
0,1,0,0,2500,0,1,0,7.9,8.2,39,42,1,4,0,0,1,1,1023,1008.0,0,2,0,-454.44
0,1,0,0,2500,0,1,0,7.9,8.2,49,42,1,5,0,0,1,1,1023,1008.0,0,2,0,-556.1000000000001
0,1,0,0,2500,0,1,0,7.9,8.2,63,43,1,2,0,0,1,1,1023,1008.0,1,3,0,-219.35
0,1,0,1,2500,0,1,0,7.9,8.2,51,43,1,3,0,0,1,1,1023,1008.0,1,3,0,-263.8299999999999
0,1,0,1,2500,0,1,0,7.9,8.2,53,43,1,4,0,0,1,1,1023,1008.0,1,3,0,-353.19999999999993
0,1,0,1,2500,0,1,0,7.9,8.2,52,42,1,5,0,0,1,1,1023,1008.0,1,3,0,-439.2000000000001
0,1,0,0,2500,0,1,0,7.9,8.2,61,44,1,1,0,0,1,1,1023,1008.0,0,4,0,-108.98000000000002
0,1,0,0,2500,0,1,0,7.9,8.2,50,43,1,2,0,0,1,1,1023,1008.0,1,4,0,-216.58
0,1,0,1,2500,0,1,0,7.9,8.2,50,44,1,3,0,0,1,1,1023,1008.0,1,4,0,-265.8299999999999
0,1,0,1,2500,0,1,0,7.9,8.2,53,43,1,4,0,0,1,1,1023,1008.0,1,4,0,-351.45000000000005
0,1,0,0,2500,0,1,0,7.9,8.2,50,44,1,5,0,0,1,1,1023,1008.0,0,4,0,-576.2800000000002
0,1,0,0,2500,0,1,0,7.9,8.2,45,40,1,1,0,0,1,1,1023,1008.0,0,5,0,-108.98000000000002
0,1,0,0,2500,0,1,0,7.9,8.2,64,42,1,2,0,0,1,1,1023,1008.0,0,5,0,-209.25
0,1,0,1,2500,0,1,0,7.9,8.2,68,40,1,3,0,0,1,1,1023,1008.0,1,5,0,-263.55000000000007
0,1,0,0,2500,0,1,0,7.9,8.2,59,41,1,4,0,0,1,1,1023,1008.0,0,5,0,-467.31
0,1,0,0,2500,0,1,0,7.9,8.2,55,40,1,5,0,0,1,1,1023,1008.0,0,5,0,-601.74
